modzcta,month,total_requests,noise_total,illegal_parking,heat_hot_water,sanitation,rodent,homeless_assistance,animal_abuse,taxi_complaint,food_establishment,street_light_condition,missed_collection,type__Abandoned_Vehicle,type__Blocked_Driveway,type__HEAT_HOT_WATER,type__Illegal_Parking,type__Noise,type__Noise_-_Commercial,type__Noise_-_Residential,type__Noise_-_Street_Sidewalk,type__Noise_-_Vehicle,type__PAINT_PLASTER,type__PLUMBING,type__Request_Large_Bulky_Item_Collection,type__Street_Condition,type__UNSANITARY_CONDITION,type__Water_System,Health,Homeless,NYPD,Other,Sanitation,Transportation
11221,2020-01,2304,498,138,226,95,45,3,0,1,5,28,0,39,125,226,138,21,131,291,25,30,9,16,317,30,47,22,71,3,835,628,596,171
11222,2020-01,1208,223,70,64,56,9,18,0,3,9,8,0,12,31,64,70,68,39,82,16,18,1,8,195,52,13,46,29,18,293,409,346,113
11223,2020-01,1680,154,362,133,88,13,1,0,0,1,8,1,31,166,133,362,24,13,91,10,16,5,10,136,34,18,30,23,1,718,417,392,129
11224,2020-01,419,102,25,40,13,14,3,0,1,2,8,0,6,18,40,25,19,0,78,3,1,2,13,17,9,6,14,19,3,141,155,67,34
11225,2020-01,2124,523,69,564,53,15,6,0,1,5,45,0,6,44,564,69,17,17,158,52,278,19,32,112,13,37,57,36,6,650,1105,207,120
11226,2020-01,2920,609,80,817,170,41,8,0,1,14,28,0,34,154,817,80,34,17,472,51,35,38,56,133,24,110,26,88,8,863,1459,379,123
11228,2020-01,979,58,181,25,27,1,3,0,0,0,9,0,7,73,25,181,15,2,34,2,5,0,2,219,29,3,35,2,3,357,183,348,86
11229,2020-01,1456,139,104,119,77,9,4,0,1,3,34,0,53,131,119,104,19,2,87,19,12,8,10,183,49,24,78,29,4,428,472,370,153
11230,2020-01,1805,160,285,248,103,5,6,0,2,3,10,0,28,159,248,285,22,2,110,8,18,8,24,134,27,29,30,19,6,625,641,364,150
11231,2020-01,978,119,75,75,36,5,6,0,3,5,22,0,28,20,75,75,26,8,63,9,13,2,3,242,29,5,19,18,6,223,274,355,102
